global_step,game_idx,total_env_steps,buffer_size,batch_size,replay_capacity,elapsed_sec,steps_per_sec
1,3,274,274,256,20000,327.5011111800559,0.8366383827301225
2,4,402,402,256,20000,486.4251633520471,0.826437508351218
3,5,530,530,256,20000,642.8696288929787,0.8244284317998657
4,5,530,530,256,20000,642.9051293110242,0.8243829078918375
5,6,540,540,256,20000,655.8330347680021,0.8233802986014916
6,6,540,540,256,20000,655.8681866580155,0.8233361687377714
7,7,667,667,256,20000,809.5624750379939,0.8239018242152303
8,7,667,667,256,20000,809.5954283849569,0.8238682885482479
9,8,775,775,256,20000,951.8864938339684,0.814172703384505
10,8,775,775,256,20000,951.924556992948,0.8141401482993166
11,8,775,775,256,20000,951.9636049839901,0.8141067536011881
12,9,867,867,256,20000,1070.5998153750552,0.809826405299977
13,9,867,867,256,20000,1070.634768221993,0.8097999670231427
14,9,867,867,256,20000,1070.6678919460392,0.8097749138849641
15,10,982,982,256,20000,1209.5084532359615,0.8119000717793436
16,10,982,982,256,20000,1209.54341891699,0.8118766012379038
17,10,982,982,256,20000,1209.5776657799724,0.8118536145149279
18,11,1050,1050,256,20000,1296.7075217190431,0.8097431243462031
19,11,1050,1050,256,20000,1296.7408192780567,0.8097223318570118
20,11,1050,1050,256,20000,1296.7758289260091,0.8097004714142543
21,11,1050,1050,256,20000,1296.8098204480484,0.8096792478308227
22,12,1077,1077,256,20000,1334.375796644017,0.8071189560757003
23,12,1077,1077,256,20000,1334.4096082509495,0.8070985050921928
24,12,1077,1077,256,20000,1334.4427511719987,0.8070784595698131
25,12,1077,1077,256,20000,1334.475950440974,0.8070583809652833
26,13,1139,1139,256,20000,1417.5913174649468,0.803475575765273
27,13,1139,1139,256,20000,1417.6245212629437,0.8034567566489886
28,13,1139,1139,256,20000,1417.6580688540125,0.803437743574323
29,13,1139,1139,256,20000,1417.6941775139421,0.8034172800210987
30,14,1176,1176,256,20000,1461.9796771999681,0.804388746533272
31,14,1176,1176,256,20000,1462.0129842370516,0.804370421247451
32,14,1176,1176,256,20000,1462.045549295959,0.8043525049997909
33,14,1176,1176,256,20000,1462.0785872270353,0.8043343294086474
34,15,1255,1255,256,20000,1560.1111064610304,0.804429886309093
35,15,1255,1255,256,20000,1560.1448767309776,0.8044124739425754
36,15,1255,1255,256,20000,1560.1790938109625,0.8043948319641185
37,15,1255,1255,256,20000,1560.2131573420484,0.8043772699225251
38,16,1372,1372,256,20000,1729.8110134809976,0.7931502281506729
39,16,1372,1372,256,20000,1729.8531953010242,0.7931308874804537
40,16,1372,1372,256,20000,1729.896429823013,0.7931110651175634
41,16,1372,1372,256,20000,1729.9361345280195,0.793092861994194
42,17,1500,1500,256,20000,1916.8917527090525,0.7825167998558713
43,17,1500,1500,256,20000,1916.9366419219878,0.7824984755344065
44,17,1500,1500,256,20000,1916.9838049140526,0.7824792239531998
45,17,1500,1500,256,20000,1917.02854625904,0.7824609617457994
46,18,1628,1628,256,20000,2109.7144284190144,0.7716684201757091
47,18,1628,1628,256,20000,2109.7692558820127,0.7716483665031872
48,18,1628,1628,256,20000,2109.829153778963,0.7716264594619201
49,18,1628,1628,256,20000,2109.867333953036,0.7716124961040977
50,19,1756,1756,256,20000,2275.840924542048,0.7715829261455732
51,19,1756,1756,256,20000,2275.874400316039,0.7715715769535231
52,19,1756,1756,256,20000,2275.908839302021,0.7715599015549904
53,19,1756,1756,256,20000,2275.9455217040377,0.7715474659891042
54,20,1849,1849,256,20000,2419.594050853979,0.764177775750196
55,20,1849,1849,256,20000,2419.6386647369945,0.7641636856555105
56,20,1849,1849,256,20000,2419.683385638986,0.7641495622832155
57,20,1849,1849,256,20000,2419.728167398018,0.7641354202146875
58,21,1917,1917,256,20000,2535.827454900951,0.75596626114882
59,21,1917,1917,256,20000,2535.8736294270493,0.7559524961159534
60,21,1917,1917,256,20000,2536.085773103987,0.755889260659244
61,21,1917,1917,256,20000,2536.2941655239556,0.7558271536708677
62,22,2045,2045,256,20000,2725.344478541985,0.7503638589915216
63,22,2045,2045,256,20000,2725.377644657041,0.7503547275399116
64,22,2045,2045,256,20000,2725.410932956962,0.7503455626712617
65,22,2045,2045,256,20000,2725.443687740015,0.750336544907941
66,23,2144,2144,256,20000,2859.050779870944,0.7498992375703026
67,23,2144,2144,256,20000,2859.0842991239624,0.7498904459224698
68,23,2144,2144,256,20000,2859.117046280997,0.749881856984069
69,23,2144,2144,256,20000,2859.14963634999,0.7498733094421197
70,24,2272,2272,256,20000,3020.5312890060013,0.752185553670484
71,24,2272,2272,256,20000,3020.5636860949453,0.7521774860960784
72,24,2272,2272,256,20000,3020.597198429052,0.7521691409836501
73,24,2272,2272,256,20000,3020.62961469905,0.7521610689850708
74,25,2306,2306,256,20000,3062.0273159330245,0.7530958290283387
75,25,2306,2306,256,20000,3062.060147323995,0.7530877543392694
76,25,2306,2306,256,20000,3062.094434504048,0.7530793217922069
77,25,2306,2306,256,20000,3062.1300279250136,0.7530705681896243
78,26,2346,2346,256,20000,3110.8823022450088,0.7541268913667928
79,26,2346,2346,256,20000,3110.9156930040335,0.7541187970075145
80,26,2346,2346,256,20000,3110.948981811991,0.7541107275354796
81,26,2346,2346,256,20000,3110.9825423239963,0.7541025923750342
82,27,2407,2407,256,20000,3187.7172865379835,0.755085781968488
83,27,2407,2407,256,20000,3187.750678483979,0.7550778723838949
84,27,2407,2407,256,20000,3187.7849980939645,0.7550697432352526
85,27,2407,2407,256,20000,3187.8199087580433,0.7550614742655753
86,28,2443,2443,256,20000,3236.349184678984,0.7548629213328608
87,28,2443,2443,256,20000,3236.389874796034,0.7548534306775894
